Headline,Level,Type,Label,Score
"Designed in US, made in China: Why Apple is stuck in tariff tussle - BBC",Company,Technology,neutral,0.714995801448822
"GLP-1 pill: Eli Lilly says its oral orforglipron showing ""promising results"" - Axios",Company,Health,positive,0.754688560962677
Unusual sell-off in the dollar raises specter of investors losing trust in the U.S. under Trump - PBS,Geopolitical,Finance,negative,0.5079501867294312
UnitedHealth Is Struggling. How Trump’s Medicare Advantage Plan Will Help. - Barron's,Company,Politics,neutral,0.6783732175827026
"Mark Zuckerberg’s explosive ‘smoking gun’ emails about Instagram, WhatsApp take center stage at FTC antitrust trial - New York Post",Company,Technology,neutral,0.851283848285675
"Feds charge teen, 19, in connection to fire caused by Molotov cocktail at Kansas City Tesla dealership - KSHB 41 Kansas City",Company,Crime,neutral,0.6403498649597168
There Might Be a Sinister Reason Egg Prices Got So High. It’s Happened Before. - Slate,MarketSector,Finance,negative,0.5952638983726501
"Court filings describe DOGE-led, scream-filled, 36-hour mass layoff scramble at consumer protection agency - Fortune",Company,Finance,negative,0.7149713039398193
How FDA cuts could make the food and drug supply less safe - NPR,Government,Health,negative,0.6531258225440979
Here’s an Analyst’s ‘Worst-case Scenario’ for Google’s Antitrust Cases - Barron's,Company,Regulations,neutral,0.8128595352172852
American Express CEO says his business is in great shape because its wealthy Gen Z clients aren’t hurting at all - Fortune,Company,Finance,positive,0.8713635206222534
Boeing Begins Flying Back Planes Destined for Chinese Airlines - Bloomberg.com,Company,WorldNews,neutral,0.9231894612312317
"Key regulators approve merger of Capital One and Discover, paving the way for a new biggest credit card company - CNN",Company,Finance,positive,0.5846129655838013
"Tariff-fueled price hikes coming to Shein, Temu next week - Ars Technica",Company,Finance,neutral,0.8181108832359314
Tariffs threaten to push auto insurance rates even higher - NPR,MarketSector,Finance,negative,0.6972975730895996
Target CEO makes bold move to dodge big boycott from shoppers - TheStreet,Company,Finance,neutral,0.7299160957336426
White House changes COVID.gov web page to page supporting lab leak theory - ABC News,Government,Health,neutral,0.9225953817367554
"Trump is replacing the acting IRS commissioner, part of a dispute between Treasury and Elon Musk - NBC News",Government,Politics,neutral,0.9127070903778076
Judge says detained Tufts student must be transferred from Louisiana to Vermont - Politico,Government,Crime,neutral,0.8877906799316406
US measles infections hit 800 cases across 24 states - ABC News,Other,Health,neutral,0.8134015798568726
Abrego Garcia told visiting US senator he was no longer being held at notorious Salvadoran prison - AP News,Geopolitical,Politics,neutral,0.9264130592346191
Defense secretary’s chief of staff to leave top job in wake of DOD turmoil - Politico,Government,Politics,neutral,0.6691910028457642
Thousands of federal workers would be easier to fire under Trump rule change - NPR,Government,Politics,neutral,0.7366299033164978
US planning imminent military deportation flight under Alien Enemies Act: Sources - ABC News,Government,War,neutral,0.7670809626579285
At least 10 billion stars in our Milky Way galaxy can support habitable planets - Earth.com,Other,Science,positive,0.5388257503509521
